time_s,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m
11.24,11.24,0,0
11.26,11.26,0,0
11.28,11.28,0,0
11.3,11.3,0,0
11.32,11.32,0,0
11.34,11.34,0,0
11.36,11.36,0,0
11.38,11.38,0,0
11.4,11.4,0,0
11.42,11.42,0,0
11.44,11.44,0,0
11.46,11.46,0,0
11.48,11.48,0,0
11.5,11.5,0,0
11.52,11.52,0,0
11.54,11.54,0,0
11.56,11.56,0,0
11.58,11.58,0,0
11.6,11.6,0,0
11.62,11.62,0,0
11.64,11.64,0,0
11.66,11.66,0,0
11.68,11.68,0,0
11.7,11.7,0,0
11.72,11.72,0,0
11.74,11.74,0,0
11.76,11.76,0,0
11.78,11.78,0,0
11.8,11.8,0,0
11.82,11.82,0,0
11.84,11.84,0,0
11.86,11.86,0,0
11.88,11.88,0,0
11.9,11.9,0,0
11.92,11.92,0,0
11.94,11.94,0,0
11.96,11.96,0,0
11.98,11.98,0,0
12,12,0,0
12.02,12.02,0,0
12.04,12.04,0,0
12.06,12.06,0,0
12.08,12.08,0,0
12.1,12.1,0,0
12.12,12.12,0,0
12.14,12.14,0,0
12.16,12.16,0,0
12.18,12.18,0,0
12.2,12.2,0,0
12.22,12.22,0,0
12.24,12.24,0,0
12.26,12.26,0,0
12.28,12.28,0,0
12.3,12.3,0,0
12.32,12.32,0,0
12.34,12.34,0,0
12.36,12.36,0,0
12.38,12.38,0,0
12.4,12.4,0,0
12.42,12.42,0,0
12.44,12.44,0,0
12.46,12.46,0,0
12.48,12.48,0,0
12.5,12.5,0,0
12.52,12.52,0,0
12.54,12.54,0,0
12.56,12.56,0,0
12.58,12.58,0,0
12.6,12.6,0,0
12.62,12.62,0,0
12.64,12.64,0,0
12.66,12.66,0,0
12.68,12.68,0,0
12.7,12.7,0,0
12.72,12.72,0,0
12.74,12.74,0,0
12.76,12.76,0,0
12.78,12.78,0,0
12.8,12.8,0,0
12.82,12.82,0,0
12.84,12.84,0,0
12.86,12.86,0,0
12.88,12.88,0,0
12.9,12.9,0,0
12.92,12.92,0,0
12.94,12.94,0,0
12.96,12.96,0,0
12.98,12.98,0,0
13,13,0,0
13.02,13.02,0,0
13.04,13.04,0,0
13.06,13.06,0,0
13.08,13.08,0,0
13.1,13.1,0,0
13.12,13.12,0,0
13.14,13.14,0,0
13.16,13.16,0,0
13.18,13.18,0,0
13.2,13.2,0,0
13.22,13.22,0,0
13.24,13.24,0,0
13.26,13.26,0,0
13.28,13.28,0,0
13.3,13.3,0,0
13.32,13.32,0,0
13.34,13.34,0,0
13.36,13.36,0,0
13.38,13.38,0,0
13.4,13.4,0,0
13.42,13.42,0,0
13.44,13.44,0,0
13.46,13.46,0,0
13.48,13.48,0,0
13.5,13.5,0,0
13.52,13.52,0,0
13.54,13.54,0,0
13.56,13.56,0,0
13.58,13.58,0,0
13.6,13.6,0,0
13.62,13.62,0,0
13.64,13.64,0,0
13.66,13.66,0,0
13.68,13.68,0,0
13.7,13.7,0,0
13.72,13.72,0,0
13.74,13.74,0,0
13.76,13.76,0,0
13.78,13.78,0,0
13.8,13.8,0,0
13.82,13.82,0,0
13.84,13.84,0,0
13.86,13.86,0,0
13.88,13.88,0,0
13.9,13.9,0,0
13.92,13.92,0,0
13.94,13.94,0,0
13.96,13.96,0,0
13.98,13.98,0,0
14,14,0,0
14.02,14.02,0,0
14.04,14.04,0,0
14.06,14.06,0,0
14.08,14.08,0,0
14.1,14.1,0,0
14.12,14.12,0,0
14.14,14.14,0,0
14.16,14.16,0,0
14.18,14.18,0,0
14.2,14.2,0,0
14.22,14.22,0,0
14.24,14.24,0,0
14.26,14.26,0,0
14.28,14.28,0,0
14.3,14.3,0,0
14.32,14.32,0,0
14.34,14.34,0,0
14.36,14.36,0,0
14.38,14.38,0,0
14.4,14.4,0,0
14.42,14.42,0,0
14.44,14.44,0,0
14.46,14.46,0,0
14.48,14.48,0,0
14.5,14.5,0,0
14.52,14.52,0,0
14.54,14.54,0,0
14.56,14.56,0,0
14.58,14.58,0,0
14.6,14.6,0,0
14.62,14.62,0,0
14.64,14.64,0,0
14.66,14.66,0,0
14.68,14.68,0,0
14.7,14.7,0,0
14.72,14.72,0,0
14.74,14.74,0,0
14.76,14.76,0,0
14.78,14.78,0,0
14.8,14.8,0,0
14.82,14.82,0,0
14.84,14.84,0,0
14.86,14.86,0,0
14.88,14.88,0,0
14.9,14.9,0,0
14.92,14.92,0,0
14.94,14.94,0,0
14.96,14.96,0,0
14.98,14.98,0,0
15,15,0,0
15.02,15.01999996,4.00E-05,0
15.04,15.0399998,0.00011999976,0
15.06,15.05999944,0.00023999904,0
15.08,15.0799988,0.0003999973333,0
15.1,15.0999978,0.000599994,0
15.12,15.11999636,0.0008399882401,0
15.14,15.1399944,0.001119979093,0
15.16,15.15999184,0.00143996544,0
15.18,15.1799886,0.001799946001,0
15.2,15.1999846,0.002199919335,0
15.22,15.21997976,0.002639883842,0
15.24,15.239974,0.003119837763,0
15.26,15.25996724,0.003639779179,0
15.28,15.2799594,0.004199706008,0
15.3,15.2999504,0.004799616012,0
15.32,15.31994016,0.005439506791,0
15.34,15.3399286,0.006119375785,0
15.36,15.35991565,0.006839220276,0
15.38,15.37990121,0.007599037382,0
15.4,15.39988521,0.008398824066,0
15.42,15.41986757,0.009238577128,0
15.44,15.43984822,0.01011829321,0
15.46,15.45982706,0.01103796879,0
15.48,15.47980402,0.01199760019,0
15.5,15.49977903,0.01299718358,0
15.52,15.51975199,0.01403671495,0
15.54,15.53972284,0.01511619014,0
15.56,15.55969149,0.01623560485,0
15.58,15.57965786,0.01739495458,0
15.6,15.59962187,0.01859423471,0
15.62,15.61958344,0.01983344044,0
15.64,15.6395425,0.02111256681,0
15.66,15.65949895,0.02243160869,0
15.68,15.67945273,0.02379056083,0
15.7,15.69940375,0.02518941778,0
15.72,15.71935193,0.02662817394,0
15.74,15.7392972,0.02810682356,0
15.76,15.75923947,0.02962536073,0
15.78,15.77917866,0.03118377937,0
15.8,15.79911469,0.03278207325,0
15.82,15.81904749,0.03442023598,0
15.84,15.83897697,0.03609826099,0
15.86,15.85890306,0.03781614159,0
15.88,15.87882567,0.0395738709,0
15.9,15.89874472,0.04137144188,0
15.92,15.91866014,0.04320884735,0
15.94,15.93857184,0.04508607996,0
15.96,15.95847976,0.0470031322,0
15.98,15.97838379,0.0489599964,0
16,15.99828388,0.05095666473,0
16.02,16.01817993,0.05299312921,0
16.04,16.03807186,0.05506938169,0
16.06,16.05795961,0.05718541387,0
16.08,16.07784308,0.05934121728,0
16.1,16.0977222,0.0615367833,0
16.12,16.11759689,0.06377210314,0
16.14,16.13746708,0.06604716787,0
16.16,16.15733267,0.06836196838,0
16.18,16.17719359,0.07071649542,0
16.2,16.19704976,0.07311073956,0
16.22,16.2169011,0.07554469124,0
16.24,16.23674754,0.07801834071,0
16.26,16.25658899,0.08053167808,0
16.28,16.27642538,0.0830846933,0
16.3,16.29625661,0.08567737615,0
16.32,16.31608263,0.08830971627,0
16.34,16.33590333,0.09098170312,0
16.36,16.35571866,0.09369332602,0
16.38,16.37552852,0.09644457411,0
16.4,16.39533284,0.09923543641,0
16.42,16.41513154,0.1020659017,0
16.44,16.43492454,0.1049359588,0
16.46,16.45471176,0.107845596,0
16.48,16.47449312,0.1107948019,0
16.5,16.49426854,0.1137835645,0
16.52,16.51403794,0.116811872,0
16.54,16.53380125,0.1198797122,0
16.56,16.55355838,0.1229870729,0
16.58,16.57330926,0.1261339416,0
16.6,16.59305381,0.1293203057,0
16.62,16.61279194,0.1325461526,0
16.64,16.63252358,0.1358114692,0
16.66,16.65224866,0.1391162425,0
16.68,16.67196708,0.1424604594,0
16.7,16.69167877,0.1458441063,0
16.72,16.71138366,0.1492671699,0
16.74,16.73108167,0.1527296364,0
16.76,16.7507727,0.1562314919,0
16.78,16.7704567,0.1597727225,0
16.8,16.79013357,0.163353314,0
16.82,16.80980325,0.166973252,0
16.84,16.82946564,0.1706325221,0
16.86,16.84912068,0.1743311097,0
16.88,16.86876828,0.1780689999,0
16.9,16.88840836,0.1818461778,0
16.92,16.90804085,0.1856626283,0
16.94,16.92766567,0.1895183361,0
16.96,16.94728274,0.1934132858,0
16.98,16.96689198,0.1973474618,0
17,16.98649331,0.2013208485,0
17.02,17.00608666,0.2053334298,0
17.04,17.02567194,0.2093851897,0
17.06,17.04524908,0.2134761121,0
17.08,17.06481799,0.2176061805,0
17.1,17.08437861,0.2217753785,0
17.12,17.10393085,0.2259836894,0
17.14,17.12347464,0.2302310963,0
17.16,17.14300989,0.2345175823,0
17.18,17.16253653,0.2388431301,0
17.2,17.18205448,0.2432077226,0
17.22,17.20156366,0.2476113422,0
17.24,17.22106399,0.2520539713,0
17.26,17.2405554,0.2565355922,0
17.28,17.26003781,0.2610561869,0
17.3,17.27951114,0.2656157374,0
17.32,17.29897531,0.2702142254,0
17.34,17.31843024,0.2748516325,0
17.36,17.33787586,0.2795279401,0
17.38,17.35731209,0.2842431297,0
17.4,17.37673885,0.2889971822,0
17.42,17.39615606,0.2937900787,0
17.44,17.41556365,0.2986218,0
17.46,17.43496154,0.3034923269,0
17.48,17.45434964,0.3084016397,0
17.5,17.47372789,0.3133497189,0
17.52,17.49309621,0.3183365446,0
17.54,17.51245451,0.323362097,0
17.56,17.53180272,0.3284263559,0
17.58,17.55114076,0.3335293011,0
17.6,17.57046856,0.3386709121,0
17.62,17.58978604,0.3438511685,0
17.64,17.60909312,0.3490700494,0
17.66,17.62838972,0.354327534,0
17.68,17.64767577,0.3596236012,0
17.7,17.66695119,0.3649582299,0
17.72,17.6862159,0.3703313988,0
